,n,Solutions
0,4,"[10.001878373611419, 0.05506293244073713, 0.01774067799049568, 0.6021291311931406]"
1,5,"[14.684295244929295, 0.008743058672761296, 0.0005212111107318311, 1.5701682301266045e-05, 1.0185005112389902]"
2,6,"[27.32698728255596, 0.002438188564395348, 2.6196782899387644e-05, 2.328203407162475e-07, -1.1774613512281434e-09, 1.1146259284206346]"
3,7,"[54.71078926861924, 0.0006207016835105605, 1.1098105661839063e-06, -8.239058150410081e-09, -0.0, 0.0, 1.1294994524169366]"
4,8,"[111.3812852615979, 0.00012658557172125651, 3.278913184794582e-08, 1.1912408244230853e-11, 1.3159448330973434e-13, -0.0, 0.0, 1.122019229968787]"
5,9,"[226.70408657234208, 2.102776471362171e-05, 7.007940976557556e-10, -0.0, 2.76818179300598e-12, -1.723103894855821e-13, 1.5129757785110336e-14, 1.881244738353696e-15, 1.110530747536271]"
6,10,"[459.8511179073264, 2.9495179005930713e-06, 4.459352928448148e-10, -0.0, -7.02160022727028e-11, -0.0, -3.7545729310747464e-13, -0.0, 2.426800650415441e-15, 1.0999001488144549]"
7,11,"[929.9248385600092, 3.597356949901768e-07, -2.130078934718896e-09, -0.0, 0.0, -4.308754671566833e-11, -2.9160967556752945e-12, -0.0, -1.8085593547677642e-14, -0.0, 1.090893711650986]"
8,12,"[1876.3377258547685, 5.979442199363213e-08, 3.722002453190988e-08, -0.0, -9.062882298480582e-08, -7.857763887044477e-10, -7.322545322557798e-11, -3.779621790676246e-12, -0.0, -2.370650930233649e-14, -0.0, 1.0833311891392339]"
9,13,"[3779.9241964355897, -9.553069210075814e-07, -0.0, -0.0, -0.0, 3.409754590169005e-08, -1.8377122639594905e-09, 0.0, 1.4168647713657953e-11, -5.747430715740867e-13, -0.0, 0.0, 1.0769228038325642]"
10,14,"[7605.857392590722, 1.527277170260859e-05, -0.0, -0.0, -0.0, -5.204791845115854e-07, -2.6134253430549086e-08, 2.5064823928541064e-09, -0.0, -1.118183257892783e-11, -4.824120938401162e-13, 0.0, 2.9605647597932195e-15, 1.0714285394137009]"
11,15,"[15290.73273161678, -0.0, -0.0, -0.0, -0.0, 2.2075530852530832e-05, -7.358510311589535e-07, 0.0, -2.5090572320073414e-09, 0.0, -0.0, -6.112841888163332e-13, -0.0, 2.3878558425816606e-15, 1.0666666631899566]"
12,16,"[30718.999875271656, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 1.054894338135984e-06, -0.0, 2.8775434079911613e-09, -2.352413494545179e-10, 0.0, -1.8866882951858934e-12, 4.6263048988053083e-14, -0.0, 1.06249999964834]"
13,17,"[61680.08212909801, 0.25003433699085875, -0.15206774256434866, -0.0, -0.0, -0.0, -0.0005123278319411646, -0.0, 0.0, 8.848443680622877e-08, -4.3094112838616495e-09, -0.0, -1.456257069763371e-11, -0.0, 0.0, -0.0, 1.0588235293784787]"
14,18,"[123782.38425807876, 4.000289938006676, -0.0, -0.0, -0.0, -0.0, -0.019658142555678597, 0.000860116125158644, -6.265540796446558e-05, 2.7985620964104056e-06, 0.0, 9.41573635421476e-09, -3.5344926123463093e-10, -0.0, 0.0, -0.0, 0.0, 1.0555555555525948]"
15,19,"[248525.3548151313, -64.00244149938581, 36.90615935506287, -0.0, 12.692242207599698, -10.943709776164733, -0.8574810704708211, 0.026355681501207498, -0.0017219508946966964, 7.358927812796142e-05, 3.948826719784022e-06, -0.0, 0.0, -5.827117499370271e-10, 3.8188595341813547e-11, -0.0, -8.008728991401844e-14, 2.5628092926777604e-15, 1.05263157894712]"
16,20,"[491599.6121892836, -0.0, -0.0, -0.0, 203.40717954558477, -0.0, 50.288468211093395, -0.0, 0.0, -0.0, 0.0, 5.865151602355113e-06, -2.5371894804255723e-07, -0.0, 0.0, -0.0, -1.6848473202469908e-12, -0.0, 0.0, 1.0499999999999805]"
